数据来源部门,业务域,表英文名称,表中文名称,字段英文名称,字段中文名称,字段说明,字段类型,字段长度,是否主键,是否外键,外键关联字段,来源表的英文名称,来源表的中文名称,来源字段的英文名称,来源字段的中文名称,备注
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,sdbz,供应商类型,(取内部编码表中XTGHDW_GYSLX：0-制造商;1-代理商;2-经销商;3-服务商;4-分包商),varchar(16),16,,,,ods_cg_b2b_ghdw,供应商申请表,SDBZ,"供应商类型(取内部编码表中XTGHDW_GYSLX：0-制造商;1-代理商;2-经销商;3-服务商;4-分包商
            )",
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,forebsjbfl,供应商基本分类,(取内部编码表中XTGHDW_JBFL：0-内部供应商;1-外部供应商),varchar(16),16,,,,ods_cg_b2b_ghdw,供应商申请表,FOREBSJBFL,基本分类(取内部编码表中XTGHDW_JBFL：0-内部供应商;1-外部供应商),
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,zzjgdm,组织机构代码,,varchar(50),50,,,,ods_cg_b2b_ghdw,供应商申请表,ZZJGDM,组织机构代码,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,sh,税务登记号,,varchar(50),50,,,,ods_cg_b2b_ghdw,供应商申请表,SH,税务登记号,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,nsrbs,纳税人标识,(取基础编码中XTGHDW_NSRBS：0-一般纳税人；1-小规模纳税人；99-其他),varchar(32),32,,,,ods_cg_b2b_ghdw,供应商申请表,NSRBS,新增字段==================纳税人标识(取基础编码中XTGHDW_NSRBS：0-一般纳税人；1-小规模纳税人；99-其他),
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,yyzz,营业执照注册号,,varchar(50),50,,,,ods_cg_b2b_ghdw,供应商申请表,YYZZ,营业执照注册号,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,yyzzyxq,营业执照有效期,,varchar(64),64,,,,ods_cg_b2b_ghdw,供应商申请表,YYZZYXQ,新增字段==================营业执照有效期,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,ybfjg,营业执照颁发机构,,varchar(64),64,,,,ods_cg_b2b_ghdw,供应商申请表,YBFJG,营业执照颁发机构,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,scxkz,营业许可证号,,varchar(64),64,,,,ods_cg_b2b_ghdw,供应商申请表,SCXKZ,营业许可证号,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,yyxkzyxq,营业许可证有效期,,varchar(64),64,,,,ods_cg_b2b_ghdw,供应商申请表,YYXKZYXQ,新增字段==================营业许可证有效期,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,zltxrzbh,质量体系认证编号,,varchar(64),64,,,,ods_cg_b2b_ghdw,供应商申请表,ZLTXRZBH,新增字段==================质量体系认证编号,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,zczj,注册资金（万元）,,"decimal(20,4)",-,,,,ods_cg_b2b_ghdw,供应商申请表,ZCZJ,注册资金(万元),
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,bizhong,币种,(取基础编码表中XTGHDW_BZ：0-人民币；1-美元),varchar(3),3,,,,ods_cg_b2b_ghdw,供应商申请表,BIZHONG,币种(取基础编码表中XTGHDW_BZ：0-人民币；1-美元),
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,ygrs,员工人数,,bigint(20),-,,,,ods_cg_b2b_ghdw,供应商申请表,YGRS,员工人数,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,fr,法定代表人,,varchar(50),50,,,,ods_cg_b2b_ghdw,供应商申请表,FR,法定代表人,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,frmobilephone,法人代表移动电话,,varchar(50),50,,,,ods_cg_b2b_ghdw,供应商申请表,FRMOBILEPHONE,法人代表移动电话,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,frtel,法人代表办公电话,,varchar(50),50,,,,ods_cg_b2b_ghdw,供应商申请表,FRTEL,法人代表办公电话,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,frzjlx,法人证件类型,(取内部编码表中XTGHDW_ZJLX:1-身份证；2-护照),varchar(32),32,,,,ods_cg_b2b_ghdw,供应商申请表,FRZJLX,法人证件类型(取内部编码表中XTGHDW_ZJLX:1-身份证；2-护照),
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,frsfz,法人身份证,,varchar(20),20,,,,ods_cg_b2b_ghdw,供应商申请表,FRSFZ,法人身份证,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,web,供应商网址,,varchar(160),160,,,,ods_cg_b2b_ghdw,供应商申请表,WEB,供应商网址,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,lxr,单位联系人,,varchar(50),50,,,,ods_cg_b2b_ghdw,供应商申请表,LXR,单位联系人,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,ywjbrmobilephone,联系人移动电话,,varchar(50),50,,,,ods_cg_b2b_ghdw,供应商申请表,YWJBRMOBILEPHONE,联系人移动电话,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,lxrtel,联系人办公电话,,varchar(50),50,,,,ods_cg_b2b_ghdw,供应商申请表,LXRTEL,联系人办公电话,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,lxrcw,联系人称谓,(取基础编码中XTGHDW_LXRCW：0-先生；1-女士),varchar(10),10,,,,ods_cg_b2b_ghdw,供应商申请表,LXRCW,新增字段==================联系人称谓(取基础编码中XTGHDW_LXRCW：0-先生；1-女士),
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,frzw,联系人职务,,varchar(50),50,,,,ods_cg_b2b_ghdw,供应商申请表,FRZW,联系人职务,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,lxremail,联系人Email,,varchar(50),50,,,,ods_cg_b2b_ghdw,供应商申请表,LXREMAIL,联系人Email,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,lxrzjlx,联系人证件类型,(取内部编码表中XTGHDW_ZJLX:1-身份证；2-护照),char(1),1,,,,ods_cg_b2b_ghdw,供应商申请表,LXRZJLX,联系人证件类型(取内部编码表中XTGHDW_ZJLX:1-身份证；2-护照),
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,lxrsfz,联系人身份证,,varchar(20),20,,,,ods_cg_b2b_ghdw,供应商申请表,LXRSFZ,联系人身份证,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,cz,联系人传真,,varchar(50),50,,,,ods_cg_b2b_ghdw,供应商申请表,CZ,联系人传真,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,forebsyhmc,银行名称,(取基础编码表中XTGHDW_YHMC：'01'-中国工商银行;'02'-中国建设银行;'03'-中国银行;'05'-交通银行;'12'-上海浦东发展银行),varchar(50),50,,,,ods_cg_b2b_ghdw,供应商申请表,FOREBSYHMC,银行名称(取基础编码表中XTGHDW_YHMC：'01'-中国工商银行;'02'-中国建设银行;'03'-中国银行;'05'-交通银行;'12'-上海浦东发展银行),
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,khyh,分行名称,,varchar(160),160,,,,ods_cg_b2b_ghdw,供应商申请表,KHYH,分行名称,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,jsdwmc,接收人单位名称,,varchar(255),255,,,,ods_cg_b2b_ghdw,供应商申请表,JSDWMC,,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,zh,开户帐号,,varchar(640),640,,,,ods_cg_b2b_ghdw,供应商申请表,ZH,开户帐号,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,jyfw,经营范围,,text,65535,,,,ods_cg_b2b_ghdw,供应商申请表,JYFW,经营范围,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,bz,供应商介绍备注,,text,65535,,,,ods_cg_b2b_ghdw,供应商申请表,BZ,供应商介绍,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,xgrbm,修改人编码,,varchar(20),20,,,,ods_cg_b2b_ghdw,供应商申请表,xgrbm,修改人编码,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,xgrmc,,,varchar(32),32,,,,ods_cg_b2b_ghdw,供应商申请表,xgrmc,,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,xgsj,修改时间,,datetime,-,,,,ods_cg_b2b_ghdw,供应商申请表,XGSJ,修改时间,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,workflowid,工作流ID,,varchar(20),20,,,,ods_cg_b2b_ghdw,供应商申请表,workflowid,工作流ID,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,shbz,审核标志,(0-未提交，1-审核中，2-审核通过),char(1),1,,,,ods_cg_b2b_ghdw,供应商申请表,SHBZ,审核情况(0-未提交，1-审核中，2-审核通过),
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,shjb,审核级别,,varchar(3),3,,,,ods_cg_b2b_ghdw,供应商申请表,SHJB,审核级别,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,shr,审核人编码,,varchar(80),80,,,,ods_cg_b2b_ghdw,供应商申请表,SHR,审核人编码,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,shrm,审核人名称,,varchar(80),80,,,,ods_cg_b2b_ghdw,供应商申请表,SHRM,审核人名称,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,shrq,审核日期,,datetime,-,,,,ods_cg_b2b_ghdw,供应商申请表,SHRQ,审核日期,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,scrbm,删除人编码,,varchar(80),80,,,,ods_cg_b2b_ghdw,供应商申请表,scrbm,删除人编码,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,scrmc,删除人名称,,varchar(80),80,,,,ods_cg_b2b_ghdw,供应商申请表,scrmc,删除人名称,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,scsj,删除时间,,datetime,,,,,ods_cg_b2b_ghdw,供应商申请表,scsj,删除时间,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,tjsj,提交时间,,datetime,-,,,,ods_cg_b2b_ghdw,供应商申请表,TJSJ,提交时间,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,htbz,回退标志(0-未回退，1-已回退),,char(1),1,,,,ods_cg_b2b_ghdw,供应商申请表,htbz,回退标志(0-未回退，1-已回退),
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,htrbm,回退人编码,,varchar(20),20,,,,ods_cg_b2b_ghdw,供应商申请表,htrbm,回退人编码,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,htrmc,回退人名称,,varchar(20),20,,,,ods_cg_b2b_ghdw,供应商申请表,htrmc,回退人名称,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,htrq,回退日期,,datetime,,,,,ods_cg_b2b_ghdw,供应商申请表,htrq,回退日期,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,jjbz,转入回收站标志,0-未转入；1-已转入,char(1),1,,,,ods_cg_b2b_ghdw,供应商申请表,JJBZ,转入回收站标志：0-未转入；1-已转入,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,tempspyj,临时审批意见,,varchar(20),20,,,,ods_cg_b2b_ghdw,供应商申请表,TEMPSPYJ,临时审批意见,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,xxbh,信息编号,,varchar(30),30,,,,ods_cg_b2b_ghdw,供应商申请表,XXBH,信息编号,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,xxzy,信息摘要,,varchar(160),160,,,,ods_cg_b2b_ghdw,供应商申请表,XXZY,信息摘要,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,dwbm,单位编码,,varchar(150),150,,,,ods_cg_b2b_ghdw,供应商申请表,DWBM,,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,yhbm,注册帐号,,varchar(80),80,,,,ods_cg_b2b_ghdw,供应商申请表,YHBM,注册帐号,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,zcrmc,注册姓名,,varchar(80),80,,,,ods_cg_b2b_ghdw,供应商申请表,ZCRMC,注册姓名,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,yhkl,注册密码,,varchar(50),50,,,,ods_cg_b2b_ghdw,供应商申请表,yhkl,注册密码,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,zcrdw,注册部门,,varchar(50),50,,,,ods_cg_b2b_ghdw,供应商申请表,ZCRDW,注册部门,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,forebslxrdhqh,注册职务,,varchar(50),50,,,,ods_cg_b2b_ghdw,供应商申请表,FOREBSLXRDHQH,注册职务,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,zcrdh,注册办公电话,,varchar(50),50,,,,ods_cg_b2b_ghdw,供应商申请表,ZCRDH,注册办公电话,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,zcrcz,注册商务传真,,varchar(50),50,,,,ods_cg_b2b_ghdw,供应商申请表,ZCRCZ,注册商务传真,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,zcrphone,注册移动电话,,varchar(50),50,,,,ods_cg_b2b_ghdw,供应商申请表,ZCRPHONE,注册移动电话,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,zcrmail,注册Email,,varchar(50),50,,,,ods_cg_b2b_ghdw,供应商申请表,ZCRMAIL,注册Email,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,zcrzjlx,注册证件类型,(取内部编码表中XTGHDW_ZJLX:1-身份证；2-护照),varchar(32),32,,,,ods_cg_b2b_ghdw,供应商申请表,ZCRZJLX,注册证件类型(取内部编码表中XTGHDW_ZJLX:1-身份证；2-护照),
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,zcrsfz,注册证件号,,varchar(32),32,,,,ods_cg_b2b_ghdw,供应商申请表,ZCRSFZ,注册证件号,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,zcsj,注册时间,,datetime,-,,,,ods_cg_b2b_ghdw,供应商申请表,ZCSJ,注册时间,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,gysbz,供应商备注,,text,65535,,,,ods_cg_b2b_ghdw,供应商申请表,GYSBZ,供应商备注,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,sjdwmc,上级单位,,varchar(160),160,,,,ods_cg_b2b_ghdw,供应商申请表,SJDWMC,上级单位,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,stepzrml,下一步准入目录,,varchar(2),2,,,,ods_cg_b2b_ghdw,供应商申请表,STEPZRML,下一步准入目录,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,stepzzwj,下一步资质文件,,varchar(2),2,,,,ods_cg_b2b_ghdw,供应商申请表,STEPZZWJ,下一步资质文件,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,xxlx,信息类型,(0-通知公告;1-招标公告(暂不加)),varchar(2),2,,,,ods_cg_b2b_ghdw,供应商申请表,XXLX,信息类型(0-通知公告;1-招标公告(暂不加)),
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,ywfl,业务分类,取基础编码表XTGHDW_YWFL(0-物资采购、1-工程建设、2-煤炭贸易、99-其他),varchar(2),2,,,,ods_cg_b2b_ghdw,供应商申请表,YWFL,"业务分类,取基础编码表XTGHDW_YWFL(0-物资采购、1-工程建设、2-煤炭贸易、99-其他)",
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,mclx,名称类型,取内部编码表XTGHDW_MCLX(0-单位全称;1-个人姓名),varchar(2),2,,,,ods_cg_b2b_ghdw,供应商申请表,MCLX,"名称类型,取内部编码表XTGHDW_MCLX(0-单位全称;1-个人姓名)",
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,nghdwsm,拟供货单位说明,,varchar(1600),1600,,,,ods_cg_b2b_ghdw,供应商申请表,NGHDWSM,拟供货单位说明,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,nghdwbm,主要拟供货单位编码,,varchar(32),32,,,,ods_cg_b2b_ghdw,供应商申请表,NGHDWBM,主要拟供货单位编码,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,nghdwmc,主要拟供货单位名称,,varchar(50),50,,,,ods_cg_b2b_ghdw,供应商申请表,NGHDWMC,主要拟供货单位名称,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,gldwbm,关联单位编码,(ERP往来单位编码),varchar(32),32,,,,ods_cg_b2b_ghdw,供应商申请表,GLDWBM,关联单位编码(ERP往来单位编码),
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,gldwmc,关联单位名称,(ERP往来单位名称),varchar(32),32,,,,ods_cg_b2b_ghdw,供应商申请表,GLDWMC,关联单位名称(ERP往来单位名称),
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,bankname,开户银行名称,,varchar(200),200,,,,ods_cg_b2b_ghdw,供应商申请表,BANKNAME,开户银行名称,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,mainqualification,主项资质及等级,,varchar(128),128,,,,ods_cg_b2b_ghdw,供应商申请表,MAINQUALIFICATION,主项资质及等级,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,certificateno,证书编号,,varchar(128),128,,,,ods_cg_b2b_ghdw,供应商申请表,CERTIFICATENO,证书编号,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,additionalqualification,增项资质类别及等级,,varchar(640),640,,,,ods_cg_b2b_ghdw,供应商申请表,ADDITIONALQUALIFICATION,增项资质类别及等级,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,lastlogintime,最后登录时间,,datetime,,,,,ods_cg_b2b_ghdw,供应商申请表,lastlogintime,最后登录时间,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,lockflag,锁定标志,,tinyint(4),-,,,,ods_cg_b2b_ghdw,供应商申请表,LOCKFLAG,锁定标志,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,errtimes,登陆的错误次数,,tinyint(4),,,,,ods_cg_b2b_ghdw,供应商申请表,errtimes,登陆的错误次数,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,businessclassification,业务分类2,三位0/1分别标识是否包含物资、工程、服务业务，如110代表有物资业务和工程业务，无服务业务,varchar(3),3,,,,ods_cg_b2b_ghdw,供应商申请表,BUSINESSCLASSIFICATION,业务分类 三位0/1分别标识是否包含物资、工程、服务业务，如110代表有物资业务和工程业务，无服务业务,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,stepzzdj,下一步资质文件等级,,varchar(2),2,,,,ods_cg_b2b_ghdw,供应商申请表,STEPZZDJ,下一步资质文件等级,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,tyxydm,统一社会信用代码（中船）,,varchar(32),32,,,,ods_cg_b2b_ghdw,供应商申请表,TYXYDM,统一社会信用代码（中船）,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,source,数据来源,（0-本系统注册，1-接口过来数据，默认为0）,varchar(1),1,,,,ods_cg_b2b_ghdw,供应商申请表,SOURCE,数据来源（0-本系统注册，1-接口过来数据，默认为0）,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,businessrelations,以往与准入单位及下属单位发生的业务（首创用）,,varchar(32),32,,,,ods_cg_b2b_ghdw,供应商申请表,BUSINESSRELATIONS,以往与准入单位及下属单位发生的业务（首创用）,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,businesscontacts,对方业务联系人（首创用）,,varchar(32),32,,,,ods_cg_b2b_ghdw,供应商申请表,BUSINESSCONTACTS,对方业务联系人（首创用）,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,lhh,联行号,,varchar(20),20,,,,ods_cg_b2b_ghdw,供应商申请表,LHH,联行号,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,standerdwmc,标准格式单位名称,用于供应商名称校验,varchar(32),32,,,,ods_cg_b2b_ghdw,供应商申请表,STANDERDWMC,标准格式单位名称，用于供应商名称校验,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,forebsyhmctwo,开户银行2,(取基础编码表中XTGHDW_YHMC),varchar(160),160,,,,ods_cg_b2b_ghdw,供应商申请表,FOREBSYHMCTWO,开户银行2(取基础编码表中XTGHDW_YHMC),
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,khyhtwo,分行名称2,,varchar(64),64,,,,ods_cg_b2b_ghdw,供应商申请表,KHYHTWO,分行名称2,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,jsdwmctwo,开户帐户2,,varchar(64),64,,,,ods_cg_b2b_ghdw,供应商申请表,JSDWMCTWO,开户帐户2,
供应链管理部,供应链管理,dwd_gyl_b2b_ghdw,供应商申请表,zhtwo,开户帐号2,,varchar(64),64,,,,ods_cg_b2b_ghdw,供应商申请表,ZHTWO,开户帐号2,
