知识点,标签,认知维度,分类,教学目标,课程
设定工具数据的步骤,考点;难点,应用,程序性,能进行工具数据的创建,工业机器人
赋值偏移,考点;难点,应用,程序性,能进行赋值偏移,工业机器人
轨迹编程,考点,创建,程序性,能合理选择直线指令进行轨迹编程,工业机器人
轨迹编程应用,考点,创建,程序性,能合理选择圆弧指令进行轨迹编程,工业机器人
运动指令中直接偏移,考点;难点,应用,程序性,能在运动指令中直接偏移,工业机器人
通过增量模式控制机器人的动作速度,考点;难点,应用,程序性,能通过增量模式控制机器人的动作速度,工业机器人
通过手动操纵杆的动作幅度控制机器人动作的速度,考点;难点,应用,程序性,能通过手动操纵杆的动作幅度控制机器人动作的速度,工业机器人
重定位定义,考点;难点,记忆,概念性,能描述重定位定义,工业机器人
重定位应用,考点;难点,应用,事实性,分析重定位应用,工业机器人
重定位特点,考点;难点,分析,元认知,能描述重定位特点,工业机器人
